symbol,current,amount,pcf
SZ002141,1.0,21789306.4,*ST贤丰,
SZ300459,3.51,615618032.45,汤姆猫,36.32168511452431
SZ002151,25.19,456690643.78,北斗星通,
SZ000078,2.27,67469640.84,海王生物,
SH600754,23.93,477888312.0,锦江酒店,5.259958786617227
SH603392,68.7,444638147.0,万泰生物,46.822038877194444
SZ301101,23.6,83843032.3,明月镜片,23.84024883133374
SH600187,1.54,119830003.0,国中水务,266.2754158772079
SH600822,8.0,72117905.0,上海物贸,19.10987556950733
SZ002895,17.55,204105183.89,川恒股份,24.484201610211542
SZ002567,5.48,357900348.39,唐人神,11.231161267164207
SZ300284,7.59,564380932.74,苏交科,77.9455028308102
SH600970,10.5,260535229.0,中材国际,6.3933285876533965
SZ002888,13.93,164681804.18,惠威科技,37.96939007981728
SH601098,12.12,155835954.0,中南传媒,6.3788779366227635
SZ002739,11.53,579616715.02,万达电影,9.01957046254422
SZ003025,12.5,140727866.94,思进智能,17.195270030679115
SZ000620,1.63,96899423.8,新华联,1124.890869299009
SZ002714,44.67,1536651440.72,牧原股份,12.97678417675058
SZ000955,3.02,55017912.1,欣龙控股,55.34146092745048
SH600547,29.36,1227032780.0,山东黄金,16.465696236549977
SH603979,48.93,502326726.0,金诚信,26.91201615701519
SZ000695,8.13,15162839.95,滨海能源,24.702102275052937
SZ301141,32.0,242379402.83,中科磁业,672.1698423115758
SZ301118,18.3,165183976.96,恒光股份,122.90256617006865
SZ002400,4.91,293346202.34,省广集团,
SH605499,235.24,441123416.0,东鹏饮料,27.539768851842542
SZ000975,18.05,756267800.83,银泰黄金,18.178113315001923
SH601918,9.37,410647409.0,新集能源,5.953471103225235
SH600584,34.75,1808621029.0,长电科技,13.589910896957187
SZ300350,4.7,93470745.9,华鹏飞,
SH600546,13.6,409854767.0,山煤国际,5.710985287338681
SZ300063,3.89,170892023.74,天龙集团,8.730549033088089
SH601799,127.4,189015088.0,星宇股份,44.78846128327199
SZ000551,9.1,113756635.82,创元科技,12.616979846133558
SH600630,7.98,219056327.0,龙头股份,22.131481405978125
SH688020,33.23,59511970.0,方邦股份,1558.3383848902972
SH600985,15.15,455188366.0,淮北矿业,3.0725440798578734
SZ301528,41.26,37669133.94,多浦乐,52.998779097625786
SZ003015,10.38,423021769.9,日久光电,21.98553235887549
SZ300198,1.26,114943956.0,纳川股份,7.455494423883413
SZ300711,15.81,241976655.0,广哈通信,76.58843934816818
SH688083,58.52,106066099.0,中望软件,152.05257487444706
SZ301307,20.42,107123498.72,美利信,6.71666560075068
SZ002330,3.82,41733195.68,得利斯,
SH601958,11.2,331595750.0,金钼股份,10.578912348396157
SZ300605,9.9,79417761.09,恒锋信息,116.835078635455
SH603800,19.54,56364739.0,道森股份,17.16784955479094
SZ300651,13.17,58822701.82,金陵体育,11.32696420515748
SZ002496,2.25,47484243.54,辉丰股份,
SZ000526,52.3,168257044.0,学大教育,9.101244568946745
SZ300291,4.2,132426316.22,百纳千成,
SZ002259,2.27,4171230.0,ST升达,18.04518643344325
SH900927,0.292,74256.0,物贸B股,0.6975104588264386
SZ300578,15.3,171116479.0,会畅通讯,35.987140840365996
SH600975,6.52,303611157.0,新五丰,
SH600689,6.88,59585496.0,上海三毛,28.779039717865324
SZ002461,8.25,156981615.9,珠江啤酒,22.39183740000004
SH688069,14.29,13336354.0,德林海,23.354138305428542
SZ300345,6.4,21629024.0,华民股份,
SZ301062,10.78,80359442.0,上海艾录,22.79143205820307
SZ300274,64.01,2076565846.51,阳光电源,18.208787014221496
SZ300765,25.66,361357856.8,新诺威,
SZ000951,14.53,282994373.2,中国重汽,4.565587583690544
SZ002273,20.12,2047620903.04,水晶光电,19.349235625284436
SZ301248,15.46,128015156.84,杰创智能,
SH601939,7.59,1046915618.0,建设银行,3.9418180364667075
SZ300046,17.63,756230155.5,台基股份,57.41553381373652
SZ002384,26.36,2492084220.72,东山精密,9.140793214189502
SH603286,18.05,340635323.0,日盈电子,56.7042941882174
SZ300052,11.84,100319147.49,中青宝,79.04719311568348
SZ000546,4.2,130535806.0,金圆股份,14.578941800972578
SH601928,10.5,195557320.0,凤凰传媒,12.300039747585037
SH600361,4.23,509251244.0,创新新材,
SZ002599,4.95,69256632.14,盛通股份,20.19558393319598
SZ300761,22.82,86018366.0,立华股份,10.68342735040462
SH603871,18.66,241032062.0,嘉友国际,12.96356595980197
SH601088,42.39,1044852717.0,中国神华,9.459287272617003
SH600993,26.39,131658132.0,马应龙,15.081712237548262
SZ301328,40.2,135652948.56,维峰电子,28.67179813220155
SH600483,11.7,172836315.0,福能股份,6.471956993476605
SZ000338,14.67,1075501200.6,潍柴动力,4.331642448851036
